"云";9999;4;"人名用漢字 (jinmeiyō kanji)";"二";"ウン ";"い.う, ここに ";"null";"say";62;"un ";"i.u, kokoni "
"互";914;4;"常用漢字 (jōyō kanji)";"二";"ゴ ";"たが.い, かたみ.に ";"null";"mutually, reciprocally, together";63;"go ";"taga.i, katami.ni "
"五";31;4;"教育漢字 (kyōiku kanji)";"二";"ゴ ";"いつ, いつ.つ ";"い, さ, さつ, ち, ふ, み, め ";"five";64;"go ";"itsu, itsu.tsu "
"井";339;4;"常用漢字 (jōyō kanji)";"二";"セイ, ショウ ";"い ";"いの, さい, ひ ";"well, well crib, town, community";65;"sei, shou ";"i "
"亘";1728;6;"人名用漢字 (jinmeiyō kanji)";"二";"コウ, カン, セン ";"わた.る, もと.める ";"のぶ, とうる, わたる, ひさし ";"span, range, extend over";66;"kou, kan, sen ";"wata.ru, moto.meru "
"亜";1509;7;"常用漢字 (jōyō kanji)";"二";"ア ";"つ.ぐ ";"や, つぎ, つぐ ";"Asia, rank next, come after, -ous";67;"a ";"tsu.gu "
"亠";9999;2;"表外漢字 (hyōgai kanji)";"亠";"トウ ";"null";"null";"kettle lid radical (no. 8)";68;"tou ";"null"
"亡";661;3;"教育漢字 (kyōiku kanji)";"亠";"ボウ, モウ ";"な.い, な.き-, ほろ.びる, ほろ.ぶ, ほろ.ぼす ";"null";"deceased, the late, dying, perish";69;"bou, mou ";"na.i, na.ki-, horo.biru, horo.bu, horo.bosu "
"亢";9999;4;"表外漢字 (hyōgai kanji)";"亠";"コウ ";"たかぶる ";"null";"high spirits";70;"kou ";"takaburu "
"交";178;6;"教育漢字 (kyōiku kanji)";"亠";"コウ ";"まじ.わる, まじ.える, ま.じる, まじ.る, ま.ざる, ま.ぜる, -か.う, か.わす, かわ.す, こもごも ";"かた ";"mingle, mixing, association, coming & going";71;"kou ";"maji.waru, maji.eru, ma.jiru, maji.ru, ma.zaru, ma.zeru, -ka.u, ka.wasu, kawa.su, komogomo "
"亥";9999;6;"人名用漢字 (jinmeiyō kanji)";"亠";"ガイ, カイ ";"い ";"り ";"sign of the hog, 9-11PM, twelfth sign of the Chinese zodiac";72;"gai, kai ";"i "
"亦";9999;6;"人名用漢字 (jinmeiyō kanji)";"亠";"エキ, ヤク ";"また ";"null";"also, again";73;"eki, yaku ";"mata "
"亨";1952;7;"人名用漢字 (jinmeiyō kanji)";"亠";"コウ, キョウ, ホウ ";"とお.る ";"とうる, みち, ゆき, あきら, なが, あき, とおる, とおるふ ";"pass through, go smoothly";74;"kou, kyou, hou ";"too.ru "
"享";1893;8;"常用漢字 (jōyō kanji)";"亠";"キョウ, コウ ";"う.ける ";"たか, たかし, とおる, みち ";"enjoy, receive, undergo, answer (phone), take, get, catch";75;"kyou, kou ";"u.keru "
"京";74;8;"教育漢字 (kyōiku kanji)";"亠";"キョウ, ケイ, キン ";"みやこ ";"たか ";"capital, 10**16";76;"kyou, kei, kin ";"miyako "
"亭";1627;9;"常用漢字 (jōyō kanji)";"亠";"テイ, チン ";"null";"null";"pavilion, restaurant, mansion, arbor, cottage, vaudeville, music hall, stage name";77;"tei, chin ";"null"
"亮";1821;9;"人名用漢字 (jinmeiyō kanji)";"亠";"リョウ ";"あきらか ";"あき, すけ, まこと, あきら, よし, きょう, たすく, ふさ ";"clear, help";78;"ryou ";"akiraka "
"亶";9999;13;"表外漢字 (hyōgai kanji)";"亠";"タン, セン ";"あつ.い, ほしいまま ";"null";"truly, wholly, cordial";79;"tan, sen ";"atsu.i, hoshiimama "
"儿";9999;2;"表外漢字 (hyōgai kanji)";"儿";"ジン, ニン ";"がい ";"null";"legs radical (no. 10)";80;"jin, nin ";"gai "
"兀";9999;3;"表外漢字 (hyōgai kanji)";"儿";"コツ ";"null";"null";"high & level, lofty, bald, dangerous";81;"kotsu ";"null"
"允";2358;4;"人名用漢字 (jinmeiyō kanji)";"儿";"イン ";"じょう, まこと.に, ゆるす ";"まこと, のぶ, まさ, みつ, すけ, よし, ちか, とも ";"license, sincerity, permit";82;"in ";"jou, makoto.ni, yurusu "
